# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'cycles:u'
# Event count (approx.): 4720044081536
#
# Overhead  Command         Shared Object          Symbol                                  
# ........  ..............  .....................  ........................................
#
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff811241e3
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81124471
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff818000d9
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8118a864
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110e74b
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810dcf7c
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8146165b
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8111fc55
     0.00%  benchmark-blas  libblis.so             [.] bli_copysc_check
     0.00%  benchmark-blas  libgomp.so.1.0.0       [.] omp_fulfill_event
     0.00%  benchmark-blas  libblis.so             [.] bli_thread_launch_openmp._omp_fn.0
     0.00%  benchmark-blas  libblis.so             [.] bli_apool_array_elem
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817d7ef0
     0.00%  benchmark-blas  libblis.so             [.] bli_acquire_mpart_mdim@plt
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817e6b48
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff818014a5
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8111fdba
     0.00%  benchmark-blas  libblis.so             [.] bli_thrinfo_create_root
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8105ec4d
     0.00%  benchmark-blas  libblis.so             [.] bli_thrinfo_split
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817d7f2d
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810dcf1c
     0.00%  benchmark-blas  libblis.so             [.] bli_pba_acquire_m
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8105e85e
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81275dd8
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817db18f
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8118a942
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff812d2d32
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81800ea3
     0.00%  benchmark-blas  ld-2.31.so             [.] _dl_relocate_object
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81275b03
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817db17f
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81291cb0
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8105e896
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81255582
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff812bcc99
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8105e816
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8118a93b
     0.00%  benchmark-blas  ld-2.31.so             [.] _dl_fixup
