# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'cycles:u'
# Event count (approx.): 4481893855902
#
# Overhead  Command         Shared Object                    Symbol                           
# ........  ..............  ...............................  .................................
#
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffffa0386ff6
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810b1672
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff818001ea
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810a96ce
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffffa046e755
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110f2c9
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110f2df
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff818012ef
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110c1a2
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810fdab7
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817eaccf
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81275873
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810a22f3
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81801262
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110c18d
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8105ec64
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812bfcee
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81801087
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff816423b0
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810eae02
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810b8145
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810aa4f5
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81801224
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8104c857
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817d8ab3
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110c21e
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810b8291
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81801239
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffffa04938c5
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817e3e8e
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817d9012
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810490ed
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812bbe88
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81801463
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812943f0
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81291cc5
     0.00%  benchmark-blas  ld-2.31.so                       [.] do_lookup_x
     0.00%  benchmark-blas  ld-2.31.so                       [.] _dl_lookup_symbol_x
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812555a2
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81275b03
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8105e85e
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8118a887
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81253ffc
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81253fb5
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8118a885
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812d2d29
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81275dd8
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81232dce
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817db18f
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8118a911
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8127293d
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812443f5
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81232dc8
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812556fd
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81232de5
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8105ec4d
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81275db2
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81275db4
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81275d27
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812555a7
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81232dd6
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8105e896
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81294413
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817db198
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8124448b
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81244407
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812555b0
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81800ea7
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81259c39
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8105e7ca
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81255582
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817db1a1
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81291c9f
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81255587
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81275631
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817db17f
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81254006
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8118b7a0
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81279165
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8105e816
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81275b2e
     0.00%  benchmark-blas  libopenblas_zenp-r0.3.27.dev.so  [.] omp_get_max_threads@plt
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812b6f31
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8105e846
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812752ef
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81279181
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8146e229
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812bdbbb
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812bdc04
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812bdbf1
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81254de9
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81291cb0
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81254c21
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81800043
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81800eb1
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812bcc99
